Image,Weed Pixels,Total Pixels,Weed %,Healthy %
DJI_DateTime_2024_06_02_13_51_0194_lat_10.3047356_lon_105.2622318_alt_20.006m.png,175881,1228800,14.31,85.69
DJI_DateTime_2024_06_02_13_51_0195_lat_10.3047028_lon_105.2622295_alt_19.989m.png,178592,1228800,14.53,85.47
DJI_DateTime_2024_06_02_13_51_0196_lat_10.3046706_lon_105.2622284_alt_19.996m.png,161487,1228800,13.14,86.86
DJI_DateTime_2024_06_02_13_51_0197_lat_10.3046388_lon_105.2622271_alt_20.000m.png,175667,1228800,14.3,85.7
DJI_DateTime_2024_06_02_13_51_0198_lat_10.3046066_lon_105.2622250_alt_19.993m.png,182915,1228800,14.89,85.11
DJI_DateTime_2024_06_02_13_52_0199_lat_10.3045752_lon_105.2622237_alt_20.050m.png,213890,1228800,17.41,82.59
DJI_DateTime_2024_06_02_13_52_0200_lat_10.3045433_lon_105.2622216_alt_20.046m.png,200410,1228800,16.31,83.69
DJI_DateTime_2024_06_02_13_52_0201_lat_10.3045109_lon_105.2622196_alt_19.978m.png,190689,1228800,15.52,84.48
DJI_DateTime_2024_06_02_13_52_0202_lat_10.3044783_lon_105.2622179_alt_20.005m.png,186621,1228800,15.19,84.81
DJI_DateTime_2024_06_02_13_52_0203_lat_10.3044455_lon_105.2622164_alt_20.003m.png,204790,1228800,16.67,83.33
DJI_DateTime_2024_06_02_13_52_0204_lat_10.3044132_lon_105.2622142_alt_19.992m.png,157255,1228800,12.8,87.2
DJI_DateTime_2024_06_02_13_52_0205_lat_10.3043811_lon_105.2622126_alt_20.026m.png,145030,1228800,11.8,88.2
DJI_DateTime_2024_06_02_13_52_0206_lat_10.3043485_lon_105.2622109_alt_20.065m.png,139765,1228800,11.37,88.63
DJI_DateTime_2024_06_02_13_52_0207_lat_10.3043159_lon_105.2622091_alt_19.994m.png,155164,1228800,12.63,87.37
DJI_DateTime_2024_06_02_13_52_0208_lat_10.3042841_lon_105.2622078_alt_20.013m.png,133583,1228800,10.87,89.13
DJI_DateTime_2024_06_02_13_52_0209_lat_10.3042519_lon_105.2622054_alt_19.940m.png,121932,1228800,9.92,90.08
DJI_DateTime_2024_06_02_13_52_0210_lat_10.3042190_lon_105.2622038_alt_20.016m.png,108190,1228800,8.8,91.2
DJI_DateTime_2024_06_02_13_54_0250_lat_10.3044834_lon_105.2622839_alt_20.010m.png,123131,1228800,10.02,89.98
DJI_DateTime_2024_06_02_13_54_0251_lat_10.3045153_lon_105.2622856_alt_20.003m.png,159946,1228800,13.02,86.98
DJI_DateTime_2024_06_02_13_54_0252_lat_10.3045473_lon_105.2622874_alt_19.981m.png,225498,1228800,18.35,81.65
DJI_DateTime_2024_06_02_13_55_0253_lat_10.3045797_lon_105.2622889_alt_20.006m.png,262623,1228800,21.37,78.63
DJI_DateTime_2024_06_02_13_55_0254_lat_10.3046119_lon_105.2622903_alt_19.995m.png,239562,1228800,19.5,80.5
DJI_DateTime_2024_06_02_13_55_0255_lat_10.3046437_lon_105.2622919_alt_20.020m.png,230485,1228800,18.76,81.24
DJI_DateTime_2024_06_02_13_55_0256_lat_10.3046760_lon_105.2622938_alt_19.998m.png,215663,1228800,17.55,82.45
DJI_DateTime_2024_06_02_13_55_0257_lat_10.3047087_lon_105.2622955_alt_19.997m.png,169068,1228800,13.76,86.24
DJI_DateTime_2024_06_02_13_55_0258_lat_10.3047404_lon_105.2622978_alt_19.995m.png,177982,1228800,14.48,85.52
DJI_DateTime_2024_06_02_13_55_0259_lat_10.3047725_lon_105.2622995_alt_19.990m.png,133989,1228800,10.9,89.1
DJI_DateTime_2024_06_02_13_55_0260_lat_10.3048044_lon_105.2623014_alt_19.979m.png,113240,1228800,9.22,90.78
DJI_DateTime_2024_06_02_13_55_0261_lat_10.3048364_lon_105.2623031_alt_19.982m.png,116416,1228800,9.47,90.53
DJI_DateTime_2024_06_02_13_55_0262_lat_10.3048688_lon_105.2623055_alt_19.981m.png,93289,1228800,7.59,92.41
DJI_DateTime_2024_06_02_13_55_0263_lat_10.3049007_lon_105.2623075_alt_20.015m.png,97848,1228800,7.96,92.04
DJI_DateTime_2024_06_02_13_55_0264_lat_10.3049331_lon_105.2623090_alt_19.961m.png,97328,1228800,7.92,92.08
DJI_DateTime_2024_06_02_13_55_0265_lat_10.3049656_lon_105.2623104_alt_20.030m.png,144692,1228800,11.78,88.22
DJI_DateTime_2024_06_02_13_56_0283_lat_10.3047781_lon_105.2623644_alt_20.024m.png,143988,1228800,11.72,88.28
DJI_DateTime_2024_06_02_13_56_0284_lat_10.3047459_lon_105.2623622_alt_19.971m.png,169397,1228800,13.79,86.21
DJI_DateTime_2024_06_02_13_56_0285_lat_10.3047138_lon_105.2623609_alt_19.974m.png,260516,1228800,21.2,78.8
DJI_DateTime_2024_06_02_13_56_0286_lat_10.3046814_lon_105.2623598_alt_20.052m.png,295387,1228800,24.04,75.96
DJI_DateTime_2024_06_02_13_56_0287_lat_10.3046491_lon_105.2623577_alt_20.030m.png,291077,1228800,23.69,76.31
DJI_DateTime_2024_06_02_13_56_0288_lat_10.3046167_lon_105.2623557_alt_19.983m.png,313487,1228800,25.51,74.49
DJI_DateTime_2024_06_02_13_57_0289_lat_10.3045848_lon_105.2623544_alt_20.023m.png,341418,1228800,27.78,72.22
DJI_DateTime_2024_06_02_13_57_0290_lat_10.3045526_lon_105.2623526_alt_19.974m.png,272806,1228800,22.2,77.8
DJI_DateTime_2024_06_02_13_57_0291_lat_10.3045207_lon_105.2623510_alt_19.986m.png,196705,1228800,16.01,83.99
DJI_DateTime_2024_06_02_13_57_0292_lat_10.3044886_lon_105.2623489_alt_20.024m.png,142511,1228800,11.6,88.4
DJI_DateTime_2024_06_02_13_57_0293_lat_10.3044557_lon_105.2623476_alt_20.019m.png,155325,1228800,12.64,87.36
DJI_DateTime_2024_06_02_13_57_0294_lat_10.3044238_lon_105.2623459_alt_19.994m.png,115646,1228800,9.41,90.59
DJI_DateTime_2024_06_04_09_14_0013_lat_10.3013333_lon_105.2719561_alt_20.217m.png,200119,1228800,16.29,83.71
DJI_DateTime_2024_06_04_09_14_0014_lat_10.3013805_lon_105.2719234_alt_20.182m.png,175735,1228800,14.3,85.7
DJI_DateTime_2024_06_04_09_14_0015_lat_10.3014282_lon_105.2718923_alt_20.211m.png,185421,1228800,15.09,84.91
DJI_DateTime_2024_06_04_09_14_0016_lat_10.3014760_lon_105.2718599_alt_20.177m.png,161028,1228800,13.1,86.9
